#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
9ant_B               -             62 phmmer_results       -             57   5.2e-28  101.2   9.9   1   1     4e-31   5.9e-28  101.0   9.9     1    57     4    60     4    60 0.99 mol:protein length:62  ANTENNAPEDIA HOMEODOMAIN
1ahd_P               -             68 phmmer_results       -             57   7.1e-28  100.7   9.9   1   1   5.6e-31   8.3e-28  100.5   9.9     1    57     3    59     3    59 0.99 mol:protein length:68  Homeotic protein antennapedia
2hoa_A               -             68 phmmer_results       -             57   7.1e-28  100.7   9.9   1   1   5.6e-31   8.3e-28  100.5   9.9     1    57     3    59     3    59 0.99 mol:protein length:68  ANTENNAPEDIA PROTEIN
2r5y_A               -             88 phmmer_results       -             57   2.3e-27   99.1  11.2   1   1     2e-30   2.9e-27   98.8  11.2     1    57    29    85    29    85 0.99 mol:protein length:88  Homeotic protein Sex combs reduced
2r5z_A               -             88 phmmer_results       -             57   2.3e-27   99.1  11.2   1   1     2e-30   2.9e-27   98.8  11.2     1    57    29    85    29    85 0.99 mol:protein length:88  Homeotic protein Sex combs reduced
4cyc_A               -             93 phmmer_results       -             57   4.7e-27   98.1   7.4   1   1   4.5e-30   6.6e-27   97.6   7.4     1    57    22    78    22    78 0.99 mol:protein length:93  HOMEOTIC PROTEIN ULTRABITHORAX
4uut_A               -             93 phmmer_results       -             57   4.7e-27   98.1   7.4   1   1   4.5e-30   6.6e-27   97.6   7.4     1    57    22    78    22    78 0.99 mol:protein length:93  HOMEOTIC PROTEIN ULTRABITHORAX
4uus_A               -             77 phmmer_results       -             57   9.4e-27   97.1   8.1   1   1   8.8e-30   1.3e-26   96.7   8.1     1    57     6    62     6    62 0.99 mol:protein length:77  HOMEOTIC PROTEIN ULTRABITHORAX
4uus_E               -             77 phmmer_results       -             57   9.4e-27   97.1   8.1   1   1   8.8e-30   1.3e-26   96.7   8.1     1    57     6    62     6    62 0.99 mol:protein length:77  HOMEOTIC PROTEIN ULTRABITHORAX
1b8i_A               -             81 phmmer_results       -             57   1.3e-26   96.7   8.1   1   1     1e-29   1.5e-26   96.5   8.1     1    57    21    77    21    77 0.99 mol:protein length:81  PROTEIN (ULTRABITHORAX HOMEOTIC PROTEIN IV)
1san_A               -             62 phmmer_results       -             57   1.8e-26   96.2   7.0   1   1   1.3e-29     2e-26   96.1   7.0     6    57     2    53     1    53 0.98 mol:protein length:62  ANTENNAPEDIA PROTEIN
2lp0_A               -             60 phmmer_results       -             57   4.7e-26   94.9   6.4   1   1   3.4e-29   5.1e-26   94.8   6.4     1    57     2    58     2    58 0.99 mol:protein length:60  Homeobox protein Hox-C9
2h1k_A               -             63 phmmer_results       -             57     7e-26   94.4   6.8   1   1   5.2e-29   7.7e-26   94.2   6.8     1    57     4    60     4    60 0.99 mol:protein length:63  Pancreatic and duodenal homeobox 1
2h1k_B               -             63 phmmer_results       -             57     7e-26   94.4   6.8   1   1   5.2e-29   7.7e-26   94.2   6.8     1    57     4    60     4    60 0.99 mol:protein length:63  Pancreatic and duodenal homeobox 1
2msy_A               -             68 phmmer_results       -             57   7.1e-26   94.3   6.4   1   1   5.5e-29   8.1e-26   94.1   6.4     1    57    10    66    10    66 0.99 mol:protein length:68  Homeobox protein Hox-C9
1puf_A               -             77 phmmer_results       -             57   8.6e-26   94.1   6.9   1   1   6.9e-29     1e-25   93.8   6.9     1    57    14    70    14    70 0.99 mol:protein length:77  Homeobox protein Hox-A9
1ftz_A               -             70 phmmer_results       -             57   1.4e-25   93.4   8.9   1   1   1.1e-28   1.6e-25   93.2   8.9     1    57     4    60     4    60 0.99 mol:protein length:70  FUSHI TARAZU PROTEIN
2m34_A               -             71 phmmer_results       -             57   1.7e-25   93.1   7.3   1   1   1.3e-28   1.9e-25   93.0   7.3     1    57     8    64     8    64 0.99 mol:protein length:71  Homeobox protein GBX-1
2me0_A               -             71 phmmer_results       -             57   1.7e-25   93.1   7.3   1   1   1.3e-28   1.9e-25   93.0   7.3     1    57     8    64     8    64 0.99 mol:protein length:71  Homeobox protein GBX-1
2me6_A               -             71 phmmer_results       -             57   1.7e-25   93.1   7.3   1   1   1.3e-28   1.9e-25   93.0   7.3     1    57     8    64     8    64 0.99 mol:protein length:71  Homeobox protein GBX-1
3a01_B               -             67 phmmer_results       -             57   3.6e-25   92.1   4.4   1   1   2.9e-28   4.3e-25   91.8   4.4     1    57     7    63     7    63 0.99 mol:protein length:67  Homeobox protein aristaless
3a01_F               -             67 phmmer_results       -             57   3.6e-25   92.1   4.4   1   1   2.9e-28   4.3e-25   91.8   4.4     1    57     7    63     7    63 0.99 mol:protein length:67  Homeobox protein aristaless
3lnq_A               -             58 phmmer_results       -             57   5.8e-25   91.4   3.4   1   1   4.3e-28   6.3e-25   91.3   3.4     2    57     1    56     1    56 0.98 mol:protein length:58  Homeobox protein aristaless
2m0c_A               -             75 phmmer_results       -             57     6e-25   91.4   6.5   1   1   5.1e-28   7.6e-25   91.0   6.5     1    57    10    66    10    66 0.99 mol:protein length:75  Homeobox protein aristaless-like 4
5lty_K               -             71 phmmer_results       -             57   2.1e-24   89.6   2.7   1   1     2e-27     3e-24   89.1   2.7     2    57     4    59     3    59 0.97 mol:protein length:71  Homeobox protein CDX-2
5lty_M               -             71 phmmer_results       -             57   2.1e-24   89.6   2.7   1   1     2e-27     3e-24   89.1   2.7     2    57     4    59     3    59 0.97 mol:protein length:71  Homeobox protein CDX-2
5lux_K               -             63 phmmer_results       -             57   2.2e-24   89.5   3.1   1   1   1.7e-27   2.5e-24   89.4   3.1     2    57     4    59     3    59 0.97 mol:protein length:63  Homeobox protein CDX-1
5lux_L               -             63 phmmer_results       -             57   2.2e-24   89.5   3.1   1   1   1.7e-27   2.5e-24   89.4   3.1     2    57     4    59     3    59 0.97 mol:protein length:63  Homeobox protein CDX-1
1b72_A               -             97 phmmer_results       -             57   2.7e-24   89.3   6.0   1   1   2.4e-27   3.6e-24   88.9   6.0     4    57    38    91    36    91 0.99 mol:protein length:97  PROTEIN (HOMEOBOX PROTEIN HOX-B1)
3zob_A               -             67 phmmer_results       -             57   7.2e-24   87.9   8.3   1   1   5.4e-27   8.1e-24   87.7   8.3     1    57     7    63     7    63 0.99 mol:protein length:67  HOMEOBOX PROTEIN ENGRAILED-2
3a02_A               -             60 phmmer_results       -             57   1.1e-23   87.4   1.7   1   1   8.4e-27   1.2e-23   87.1   1.7     5    57     4    56     2    56 0.97 mol:protein length:60  Homeobox protein aristaless
3hdd_A               -             60 phmmer_results       -             57   1.4e-23   87.0   7.9   1   1     1e-26   1.5e-23   86.8   7.9     1    57     2    58     2    58 0.99 mol:protein length:60  ENGRAILED HOMEODOMAIN
3hdd_B               -             60 phmmer_results       -             57   1.4e-23   87.0   7.9   1   1     1e-26   1.5e-23   86.8   7.9     1    57     2    58     2    58 0.99 mol:protein length:60  ENGRAILED HOMEODOMAIN
1hdd_C               -             61 phmmer_results       -             57   1.5e-23   86.9   7.9   1   1   1.1e-26   1.6e-23   86.8   7.9     1    57     4    60     4    60 0.99 mol:protein length:61  PROTEIN (ENGRAILED HOMEODOMAIN)
1hdd_D               -             61 phmmer_results       -             57   1.5e-23   86.9   7.9   1   1   1.1e-26   1.6e-23   86.8   7.9     1    57     4    60     4    60 0.99 mol:protein length:61  PROTEIN (ENGRAILED HOMEODOMAIN)
2jwt_A               -             61 phmmer_results       -             57   1.5e-23   86.9   7.9   1   1   1.1e-26   1.6e-23   86.8   7.9     1    57     4    60     4    60 0.99 mol:protein length:61  Segmentation polarity homeobox protein engrailed
2n8g_A               -             71 phmmer_results       -             57     2e-23   86.5   7.3   1   1   1.5e-26   2.3e-23   86.3   7.3     1    57     8    64     8    64 0.99 mol:protein length:71  Homeobox protein GBX-1
3cmy_A               -             61 phmmer_results       -             57   2.8e-23   86.0   7.6   1   1     2e-26     3e-23   85.9   7.6     1    57     3    59     3    59 0.99 mol:protein length:61  Paired box protein Pax-3
1jgg_A               -             60 phmmer_results       -             57     4e-23   85.5   3.4   1   1     3e-26   4.4e-23   85.4   3.4     1    57     2    58     2    58 0.99 mol:protein length:60  Segmentation Protein Even-Skipped
1jgg_B               -             60 phmmer_results       -             57     4e-23   85.5   3.4   1   1     3e-26   4.4e-23   85.4   3.4     1    57     2    58     2    58 0.99 mol:protein length:60  Segmentation Protein Even-Skipped
1p7j_A               -             59 phmmer_results       -             57   4.4e-23   85.4   7.4   1   1   3.2e-26   4.8e-23   85.3   7.4     1    57     2    58     2    58 0.99 mol:protein length:59  Segmentation polarity homeobox protein engrailed
1p7j_B               -             59 phmmer_results       -             57   4.4e-23   85.4   7.4   1   1   3.2e-26   4.8e-23   85.3   7.4     1    57     2    58     2    58 0.99 mol:protein length:59  Segmentation polarity homeobox protein engrailed
1p7j_C               -             59 phmmer_results       -             57   4.4e-23   85.4   7.4   1   1   3.2e-26   4.8e-23   85.3   7.4     1    57     2    58     2    58 0.99 mol:protein length:59  Segmentation polarity homeobox protein engrailed
1p7j_D               -             59 phmmer_results       -             57   4.4e-23   85.4   7.4   1   1   3.2e-26   4.8e-23   85.3   7.4     1    57     2    58     2    58 0.99 mol:protein length:59  Segmentation polarity homeobox protein engrailed
1p7i_A               -             59 phmmer_results       -             57   4.5e-23   85.4   6.9   1   1   3.3e-26   4.9e-23   85.2   6.9     1    57     2    58     2    58 0.99 mol:protein length:59  Segmentation polarity homeobox protein engrailed
1p7i_B               -             59 phmmer_results       -             57   4.5e-23   85.4   6.9   1   1   3.3e-26   4.9e-23   85.2   6.9     1    57     2    58     2    58 0.99 mol:protein length:59  Segmentation polarity homeobox protein engrailed
1p7i_C               -             59 phmmer_results       -             57   4.5e-23   85.4   6.9   1   1   3.3e-26   4.9e-23   85.2   6.9     1    57     2    58     2    58 0.99 mol:protein length:59  Segmentation polarity homeobox protein engrailed
1p7i_D               -             59 phmmer_results       -             57   4.5e-23   85.4   6.9   1   1   3.3e-26   4.9e-23   85.2   6.9     1    57     2    58     2    58 0.99 mol:protein length:59  Segmentation polarity homeobox protein engrailed
1ig7_A               -             58 phmmer_results       -             57   4.8e-23   85.3   5.2   1   1   3.5e-26   5.2e-23   85.1   5.2     1    57     1    57     1    57 0.99 mol:protein length:58  Homeotic protein Msx-1
2dmt_A               -             80 phmmer_results       -             57   5.5e-23   85.1   2.6   1   1   4.3e-26   6.4e-23   84.9   2.6     1    57    18    74    18    74 0.99 mol:protein length:80  Homeobox protein BarH-like 1
1fjl_A               -             81 phmmer_results       -             57   9.7e-23   84.3   6.4   1   1   8.1e-26   1.2e-22   84.0   6.4     1    57    19    75    19    75 0.99 mol:protein length:81  PAIRED PROTEIN
1fjl_B               -             81 phmmer_results       -             57   9.7e-23   84.3   6.4   1   1   8.1e-26   1.2e-22   84.0   6.4     1    57    19    75    19    75 0.99 mol:protein length:81  PAIRED PROTEIN
1fjl_C               -             81 phmmer_results       -             57   9.7e-23   84.3   6.4   1   1   8.1e-26   1.2e-22   84.0   6.4     1    57    19    75    19    75 0.99 mol:protein length:81  PAIRED PROTEIN
2l7m_P               -             68 phmmer_results       -             57     1e-22   84.2   9.2   1   1     8e-26   1.2e-22   84.0   9.2     1    57     4    60     4    60 0.99 mol:protein length:68  Pituitary homeobox 2
2hdd_A               -             61 phmmer_results       -             57   1.1e-22   84.1   7.8   1   1   8.5e-26   1.3e-22   83.9   7.8     1    57     4    60     4    60 0.99 mol:protein length:61  PROTEIN (ENGRAILED HOMEODOMAIN Q50K)
2hdd_B               -             61 phmmer_results       -             57   1.1e-22   84.1   7.8   1   1   8.5e-26   1.3e-22   83.9   7.8     1    57     4    60     4    60 0.99 mol:protein length:61  PROTEIN (ENGRAILED HOMEODOMAIN Q50K)
2cue_A               -             80 phmmer_results       -             57   1.4e-22   83.8   5.1   1   1   1.3e-25   1.9e-22   83.4   5.1     2    57     9    64     8    64 0.98 mol:protein length:80  Paired box protein Pax6
4xrs_G               -             56 phmmer_results       -             57   1.4e-22   83.8   3.1   1   1     1e-25   1.5e-22   83.7   3.1     2    57     1    56     1    56 0.98 mol:protein length:56  Homeobox protein DLX-3
4xrs_I               -             56 phmmer_results       -             57   1.4e-22   83.8   3.1   1   1     1e-25   1.5e-22   83.7   3.1     2    57     1    56     1    56 0.98 mol:protein length:56  Homeobox protein DLX-3
4rdu_A               -             65 phmmer_results       -             57   1.6e-22   83.6   2.9   1   1   1.2e-25   1.8e-22   83.4   2.9     1    57     5    61     5    61 0.99 mol:protein length:65  Homeobox protein DLX-5
4rdu_D               -             65 phmmer_results       -             57   1.6e-22   83.6   2.9   1   1   1.2e-25   1.8e-22   83.4   2.9     1    57     5    61     5    61 0.99 mol:protein length:65  Homeobox protein DLX-5
2e1o_A               -             70 phmmer_results       -             57     2e-22   83.3   5.6   1   1   1.5e-25   2.2e-22   83.2   5.6     4    57    11    64     8    64 0.96 mol:protein length:70  Homeobox protein PRH
2l7f_P               -             68 phmmer_results       -             57     2e-22   83.3  10.2   1   1   1.6e-25   2.3e-22   83.1  10.2     1    57     4    60     4    60 0.99 mol:protein length:68  Pituitary homeobox 2
2lkx_A               -             68 phmmer_results       -             57     2e-22   83.3  10.2   1   1   1.6e-25   2.3e-22   83.1  10.2     1    57     4    60     4    60 0.99 mol:protein length:68  Pituitary homeobox 3
2djn_A               -             70 phmmer_results       -             57   2.1e-22   83.2   2.9   1   1   1.6e-25   2.3e-22   83.1   2.9     1    57     8    64     8    64 0.99 mol:protein length:70  Homeobox protein DLX-5
1du0_A               -             57 phmmer_results       -             57   2.3e-22   83.1   5.9   1   1   1.7e-25   2.5e-22   83.0   5.9     2    57     1    56     1    56 0.99 mol:protein length:57  ENGRAILED HOMEODOMAIN
1du0_B               -             57 phmmer_results       -             57   2.3e-22   83.1   5.9   1   1   1.7e-25   2.5e-22   83.0   5.9     2    57     1    56     1    56 0.99 mol:protein length:57  ENGRAILED HOMEODOMAIN
1enh_A               -             54 phmmer_results       -             57   2.3e-22   83.1   5.5   1   1   1.7e-25   2.5e-22   83.0   5.5     2    55     1    54     1    54 0.98 mol:protein length:54  ENGRAILED HOMEODOMAIN
2dmu_A               -             70 phmmer_results       -             57   4.5e-22   82.2   6.2   1   1   3.4e-25     5e-22   82.0   6.2     1    57     8    64     8    64 0.99 mol:protein length:70  Homeobox protein goosecoid
3a01_A               -             93 phmmer_results       -             57     5e-22   82.0   6.9   1   1   6.6e-25   9.9e-22   81.1   6.9     1    57    18    74    18    74 0.99 mol:protein length:93  Homeodomain-containing protein
3a01_E               -             93 phmmer_results       -             57     5e-22   82.0   6.9   1   1   6.6e-25   9.9e-22   81.1   6.9     1    57    18    74    18    74 0.99 mol:protein length:93  Homeodomain-containing protein
1ftt_A               -             68 phmmer_results       -             57   1.4e-21   80.6   6.1   1   1   1.1e-24   1.6e-21   80.4   6.1     1    57     3    59     2    59 0.97 mol:protein length:68  THYROID TRANSCRIPTION FACTOR 1 HOMEODOMAIN
2dms_A               -             80 phmmer_results       -             57   1.7e-21   80.3   2.4   1   1   1.4e-24     2e-21   80.1   2.4     1    56     8    63     8    64 0.98 mol:protein length:80  Homeobox protein OTX2
3rkq_A               -             58 phmmer_results       -             57   1.9e-21   80.1   4.7   1   1   1.4e-24   2.1e-21   80.0   4.7     1    56     3    58     3    58 0.98 mol:protein length:58  Homeobox protein Nkx-2.5
3rkq_B               -             58 phmmer_results       -             57   1.9e-21   80.1   4.7   1   1   1.4e-24   2.1e-21   80.0   4.7     1    56     3    58     3    58 0.98 mol:protein length:58  Homeobox protein Nkx-2.5
1ztr_A               -             61 phmmer_results       -             57   4.4e-21   79.0   8.3   1   1   3.3e-24   4.8e-21   78.9   8.3     1    57     4    60     4    60 0.98 mol:protein length:61  Segmentation polarity homeobox protein engrailed
2hos_A               -             63 phmmer_results       -             57   6.4e-21   78.5   5.9   1   1   4.7e-24     7e-21   78.3   5.9     1    57     5    61     5    61 0.99 mol:protein length:63  Segmentation polarity homeobox protein engrailed
2hos_B               -             63 phmmer_results       -             57   6.4e-21   78.5   5.9   1   1   4.7e-24     7e-21   78.3   5.9     1    57     5    61     5    61 0.99 mol:protein length:63  Segmentation polarity homeobox protein engrailed
2hot_A               -             63 phmmer_results       -             57   6.4e-21   78.5   5.9   1   1   4.7e-24     7e-21   78.3   5.9     1    57     5    61     5    61 0.99 mol:protein length:63  Segmentation polarity homeobox protein engrailed
2hot_B               -             63 phmmer_results       -             57   6.4e-21   78.5   5.9   1   1   4.7e-24     7e-21   78.3   5.9     1    57     5    61     5    61 0.99 mol:protein length:63  Segmentation polarity homeobox protein engrailed
2l9r_A               -             69 phmmer_results       -             57   7.1e-21   78.3   3.0   1   1     6e-24   8.9e-21   78.0   3.0     5    57     9    61     5    68 0.95 mol:protein length:69  Homeobox protein Nkx-3.1
4s0h_B               -             53 phmmer_results       -             57   1.5e-20   77.3   3.9   1   1   1.1e-23   1.6e-20   77.2   3.9     4    56     1    53     1    53 0.97 mol:protein length:53  Homeobox protein Nkx-2.5
4s0h_F               -             53 phmmer_results       -             57   1.5e-20   77.3   3.9   1   1   1.1e-23   1.6e-20   77.2   3.9     4    56     1    53     1    53 0.97 mol:protein length:53  Homeobox protein Nkx-2.5
1nk2_P               -             77 phmmer_results       -             57   2.7e-20   76.5   8.2   1   1   2.1e-23   3.2e-20   76.2   8.2     1    57    10    66     9    66 0.97 mol:protein length:77  HOMEOBOX PROTEIN VND
1nk3_P               -             77 phmmer_results       -             57   2.7e-20   76.5   8.2   1   1   2.1e-23   3.2e-20   76.2   8.2     1    57    10    66     9    66 0.97 mol:protein length:77  HOMEOBOX PROTEIN VND
1vnd_A               -             77 phmmer_results       -             57   2.7e-20   76.5   8.2   1   1   2.1e-23   3.2e-20   76.2   8.2     1    57    10    66     9    66 0.97 mol:protein length:77  VND/NK-2 PROTEIN
5flv_A               -            285 phmmer_results       -             57   3.4e-20   76.1   5.7   1   1   5.1e-23   7.6e-20   75.0   5.7     1    57     9    65     9    65 0.98 mol:protein length:285  HOMEOBOX PROTEIN NKX-2.5, T-BOX TRANSCRIPTION FACTOR TBX5
5flv_E               -            285 phmmer_results       -             57   3.4e-20   76.1   5.7   1   1   5.1e-23   7.6e-20   75.0   5.7     1    57     9    65     9    65 0.98 mol:protein length:285  HOMEOBOX PROTEIN NKX-2.5, T-BOX TRANSCRIPTION FACTOR TBX5
5flv_I               -            285 phmmer_results       -             57   3.4e-20   76.1   5.7   1   1   5.1e-23   7.6e-20   75.0   5.7     1    57     9    65     9    65 0.98 mol:protein length:285  HOMEOBOX PROTEIN NKX-2.5, T-BOX TRANSCRIPTION FACTOR TBX5
5flv_M               -            285 phmmer_results       -             57   3.4e-20   76.1   5.7   1   1   5.1e-23   7.6e-20   75.0   5.7     1    57     9    65     9    65 0.98 mol:protein length:285  HOMEOBOX PROTEIN NKX-2.5, T-BOX TRANSCRIPTION FACTOR TBX5
2k40_A               -             67 phmmer_results       -             57   5.2e-20   75.6   0.5   1   1   4.1e-23     6e-20   75.3   0.5     1    57     2    58     2    58 0.99 mol:protein length:67  Homeobox expressed in ES cells 1
3a03_A               -             56 phmmer_results       -             57   6.2e-20   75.3   6.1   1   1   4.5e-23   6.7e-20   75.2   6.1     5    57     2    54     1    54 0.98 mol:protein length:56  T-cell leukemia homeobox protein 2
2mgq_A               -             68 phmmer_results       -             57   9.5e-20   74.7   5.9   1   1   7.8e-23   1.2e-19   74.4   5.9     1    56     6    61     6    62 0.98 mol:protein length:68  Homeobox protein ceh-37
2ld5_A               -             71 phmmer_results       -             57   1.4e-19   74.2   8.2   1   1   1.1e-22   1.6e-19   74.0   8.2     1    57     6    62     6    62 0.99 mol:protein length:71  Homeobox protein Hox-A13
2l7z_A               -             73 phmmer_results       -             57   1.5e-19   74.0   8.2   1   1   1.2e-22   1.8e-19   73.8   8.2     1    57     8    64     8    64 0.99 mol:protein length:73  Homeobox protein Hox-A13
5eg0_B               -             61 phmmer_results       -             57   2.5e-19   73.3   5.6   1   1   1.9e-22   2.8e-19   73.2   5.6     1    57     1    57     1    57 0.99 mol:protein length:61  Homeobox protein Hox-B13
5ef6_A               -             62 phmmer_results       -             57   2.7e-19   73.3   5.6   1   1     2e-22     3e-19   73.1   5.6     1    57     1    57     1    57 0.99 mol:protein length:62  Homeobox protein Hox-B13
5ef6_B               -             62 phmmer_results       -             57   2.7e-19   73.3   5.6   1   1     2e-22     3e-19   73.1   5.6     1    57     1    57     1    57 0.99 mol:protein length:62  Homeobox protein Hox-B13
5ef6_G               -             62 phmmer_results       -             57   2.7e-19   73.3   5.6   1   1     2e-22     3e-19   73.1   5.6     1    57     1    57     1    57 0.99 mol:protein length:62  Homeobox protein Hox-B13
5ef6_J               -             62 phmmer_results       -             57   2.7e-19   73.3   5.6   1   1     2e-22     3e-19   73.1   5.6     1    57     1    57     1    57 0.99 mol:protein length:62  Homeobox protein Hox-B13
5eea_A               -             63 phmmer_results       -             57   2.8e-19   73.2   5.6   1   1   2.1e-22   3.1e-19   73.0   5.6     1    57     1    57     1    57 0.99 mol:protein length:63  Homeobox protein Hox-B13
5eea_B               -             63 phmmer_results       -             57   2.8e-19   73.2   5.6   1   1   2.1e-22   3.1e-19   73.0   5.6     1    57     1    57     1    57 0.99 mol:protein length:63  Homeobox protein Hox-B13
5eea_G               -             63 phmmer_results       -             57   2.8e-19   73.2   5.6   1   1   2.1e-22   3.1e-19   73.0   5.6     1    57     1    57     1    57 0.99 mol:protein length:63  Homeobox protein Hox-B13
5eea_J               -             63 phmmer_results       -             57   2.8e-19   73.2   5.6   1   1   2.1e-22   3.1e-19   73.0   5.6     1    57     1    57     1    57 0.99 mol:protein length:63  Homeobox protein Hox-B13
5ego_B               -             63 phmmer_results       -             57   2.8e-19   73.2   5.6   1   1   2.1e-22   3.1e-19   73.0   5.6     1    57     1    57     1    57 0.99 mol:protein length:63  Homeobox protein Hox-B13
4qtr_A               -             72 phmmer_results       -             57   3.2e-19   73.0   3.6   1   1   2.4e-22   3.6e-19   72.9   3.6     1    57     3    59     3    59 0.99 mol:protein length:72  dualENH
4qtr_B               -             72 phmmer_results       -             57   3.2e-19   73.0   3.6   1   1   2.4e-22   3.6e-19   72.9   3.6     1    57     3    59     3    59 0.99 mol:protein length:72  dualENH
4qtr_C               -             72 phmmer_results       -             57   3.2e-19   73.0   3.6   1   1   2.4e-22   3.6e-19   72.9   3.6     1    57     3    59     3    59 0.99 mol:protein length:72  dualENH
4qtr_D               -             72 phmmer_results       -             57   3.2e-19   73.0   3.6   1   1   2.4e-22   3.6e-19   72.9   3.6     1    57     3    59     3    59 0.99 mol:protein length:72  dualENH
2cra_A               -             70 phmmer_results       -             57   4.1e-19   72.7   5.6   1   1   3.1e-22   4.6e-19   72.5   5.6     1    57     8    64     8    64 0.99 mol:protein length:70  Homeobox protein Hox-B13
5edn_A               -             76 phmmer_results       -             57     5e-19   72.4   5.6   1   1   4.1e-22     6e-19   72.1   5.6     1    57     9    65     9    65 0.99 mol:protein length:76  Homeobox protein Hox-B13
5edn_B               -             76 phmmer_results       -             57     5e-19   72.4   5.6   1   1   4.1e-22     6e-19   72.1   5.6     1    57     9    65     9    65 0.99 mol:protein length:76  Homeobox protein Hox-B13
5edn_G               -             76 phmmer_results       -             57     5e-19   72.4   5.6   1   1   4.1e-22     6e-19   72.1   5.6     1    57     9    65     9    65 0.99 mol:protein length:76  Homeobox protein Hox-B13
5edn_J               -             76 phmmer_results       -             57     5e-19   72.4   5.6   1   1   4.1e-22     6e-19   72.1   5.6     1    57     9    65     9    65 0.99 mol:protein length:76  Homeobox protein Hox-B13
1qry_A               -             80 phmmer_results       -             57   5.4e-19   72.3   8.5   1   1   4.3e-22   6.4e-19   72.1   8.5     1    57    13    69    12    69 0.97 mol:protein length:80  PROTEIN (HOMEOBOX VENTRAL NERVOUS SYSTEM DEFECTIVE PROTEIN)
2vi6_A               -             62 phmmer_results       -             57   1.1e-18   71.3   6.0   1   1   8.1e-22   1.2e-18   71.2   6.0     2    57     5    60     4    60 0.98 mol:protein length:62  HOMEOBOX PROTEIN NANOG
2vi6_B               -             62 phmmer_results       -             57   1.1e-18   71.3   6.0   1   1   8.1e-22   1.2e-18   71.2   6.0     2    57     5    60     4    60 0.98 mol:protein length:62  HOMEOBOX PROTEIN NANOG
2vi6_C               -             62 phmmer_results       -             57   1.1e-18   71.3   6.0   1   1   8.1e-22   1.2e-18   71.2   6.0     2    57     5    60     4    60 0.98 mol:protein length:62  HOMEOBOX PROTEIN NANOG
2vi6_D               -             62 phmmer_results       -             57   1.1e-18   71.3   6.0   1   1   8.1e-22   1.2e-18   71.2   6.0     2    57     5    60     4    60 0.98 mol:protein length:62  HOMEOBOX PROTEIN NANOG
2vi6_E               -             62 phmmer_results       -             57   1.1e-18   71.3   6.0   1   1   8.1e-22   1.2e-18   71.2   6.0     2    57     5    60     4    60 0.98 mol:protein length:62  HOMEOBOX PROTEIN NANOG
2vi6_F               -             62 phmmer_results       -             57   1.1e-18   71.3   6.0   1   1   8.1e-22   1.2e-18   71.2   6.0     2    57     5    60     4    60 0.98 mol:protein length:62  HOMEOBOX PROTEIN NANOG
